"","service_date","time","route_id","route_name","trip_freq","trip_freq_adj","sub_route","trip_id","stop_id","departure_terminal","mbta_sched_departure","actual_departure","pax_on","pax_load","pax_off","mbta_sched_arrival","actual_arrival","arrival_terminal","vessel_time_slot","trip_endpoint","travel_direction","ObjectId","week"
"79","2021/10/08","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","07:15-F4-LWS-CNY","07:15-F4-LWS-CNY","Long Wharf S","2021/10/08 11:15:00+00","2021-10-08 07:15:00",1,1,-1,"2021/10/08 11:25:00+00","2021-10-08 07:25:00","Navy Yard","Secondary","Trip Endpoint","From Boston",118760,"Friday"
"80","2021/11/02","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","07:00-F4-LWS-CNY","07:00-F4-LWS-CNY","Long Wharf S","2021/11/02 11:00:00+00","2021-11-02 07:00:00",0,0,0,"2021/11/02 11:10:00+00","2021-11-02 07:10:00","Navy Yard","Primary","Trip Endpoint","From Boston",119856,"Tuesday"
"81","2021/11/07","04:00:00+00","F4","F4-Charlestown","S-S","Covid","F4-Charlestown-Boston","11:15-F4-CNY-LWS","11:15-F4-CNY-LWS","Navy Yard","2021/11/07 16:15:00+00","2021-11-07 11:15:00",11,11,-11,"2021/11/07 16:25:00+00","2021-11-07 11:25:00","Long Wharf S","Primary","Trip Endpoint","To Boston",120029,"Sunday"
"82","2021/11/05","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","07:30-F4-CNY-LWS","07:30-F4-CNY-LWS","Navy Yard","2021/11/05 11:30:00+00","2021-11-05 07:30:00",6,6,-6,"2021/11/05 11:40:00+00","2021-11-05 07:40:00","Long Wharf S","Secondary","Trip Endpoint","To Boston",120195,"Friday"
"83","2021/11/03","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","07:00-F4-LWS-CNY","07:00-F4-LWS-CNY","Long Wharf S","2021/11/03 11:00:00+00","2021-11-03 07:00:00",0,0,0,"2021/11/03 11:10:00+00","2021-11-03 07:10:00","Navy Yard","Primary","Trip Endpoint","From Boston",120277,"Wednesday"
"84","2021/11/02","04:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","16:30-F4-CNY-LWS","16:30-F4-CNY-LWS","Navy Yard","2021/11/02 20:30:00+00","2021-11-02 16:30:00",4,4,-4,"2021/11/02 20:40:00+00","2021-11-02 16:40:00","Long Wharf S","Secondary","Trip Endpoint","To Boston",120360,"Tuesday"
"85","2021/12/09","05:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","07:15-F4-CNY-LWS","07:15-F4-CNY-LWS","Navy Yard","2021/12/09 12:15:00+00","2021-12-09 07:15:00",1,1,-1,"2021/12/09 12:25:00+00","2021-12-09 07:25:00","Long Wharf S","Primary","Trip Endpoint","To Boston",122049,"Thursday"
"86","2021/12/06","05:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","13:45-F4-CNY-LWS","13:45-F4-CNY-LWS","Navy Yard","2021/12/06 18:45:00+00","2021-12-06 13:45:00",3,3,-3,"2021/12/06 18:55:00+00","2021-12-06 13:55:00","Long Wharf S","Primary","Trip Endpoint","To Boston",122298,"Monday"
"87","2021/12/08","05:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Boston-Charlestown","10:30-F4-LWS-CNY","10:30-F4-LWS-CNY","Long Wharf S","2021/12/08 15:30:00+00","2021-12-08 10:30:00",0,0,0,"2021/12/08 15:40:00+00","2021-12-08 10:40:00","Navy Yard","Primary","Trip Endpoint","From Boston",122384,"Wednesday"
"88","2021/12/11","05:00:00+00","F4","F4-Charlestown","S-S","Covid","F4-Boston-Charlestown","14:00-F4-LWS-CNY","14:00-F4-LWS-CNY","Long Wharf S","2021/12/11 19:00:00+00","2021-12-11 14:00:00",1,1,-1,"2021/12/11 19:10:00+00","2021-12-11 14:10:00","Navy Yard","Primary","Trip Endpoint","From Boston",122723,"Saturday"
